"","AMBIENT_TEMP.PROCESS_VALUE","BIO_1.LEVEL.PROCESS_VALUE","BIO_1.TEMPERATURE.PROCESS_VALUE","BIO_1.TSS.PROCESS_VALUE","BIO_2.LEVEL.PROCESS_VALUE","BIO_2.TEMPERATURE.PROCESS_VALUE","BIO_2.TSS.PROCESS_VALUE","BIO_BLOWER_1.FLOW.PROCESS_VALUE","BIO_BLOWER_2.FLOW.PROCESS_VALUE","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_1","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_2","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_1","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_2","MBR.BATCH_VOLUME","MBR_1.INF_FLOW.PROCESS_VALUE","MBR_1.LEVEL.PROCESS_VALUE","MBR_1.PERM_FLOW.PROCESS_VALUE","MBR_1.PERM_PRESS.PROCESS_VALUE","MBR_1.TRANS_PRESS.PROCESS_VALUE","MBR_2.INF_FLOW.PROCESS_VALUE","MBR_2.LEVEL.PROCESS_VALUE","MBR_2.PERM_FLOW.PROCESS_VALUE","MBR_2.PERM_PRESS.PROCESS_VALUE","MBR_2.TRANS_PRESS.PROCESS_VALUE","PERMEATE_TANK.CONDUCTIVITY.PROCESS_VALUE","PERMEATE_TANK.LEVEL.PROCESS_VALUE","PERMEATE_TANK.TURBIDITY.PROCESS_VALUE","RAS_TROUGH.DO.PROCESS_VALUE","RAS_TROUGH.PH.PROCESS_VALUE","RAS_TROUGH.TEMPERATURE.PROCESS_VALUE","RAS_TROUGH.TSS.PROCESS_VALUE","SEWAGE.FLOW.PROCESS_VALUE","SEWAGE.FLOW.TOTAL_BATCH","SEWAGE.LEVEL.PROCESS_VALUE","WAS_FLOW.PROCESS_VALUE"
"2017-01-27 00:09:57",51,5.044999835,56,4781,5.874999765,59,5142.5,0.1,13.8090907881818,5.4179488608547,5.27179491401709,3.73333336264957,1.88376069735043,1.84957266529915,219.91201782,9.46363657090909,9.86181796727273,1.87948720213675,14.3333334794872,0.0512820512820513,9.48181837181818,9.97636335454546,2.19145300196581,14.0709401644444,0.157264962307692,782.5,3.12999988,0.0363636363636364,0,6.4000001,58,4253.5,0,202.56016541,2.90272713,0
"2017-01-27 00:19:59",50,4.96999979,56,4769,5.9000001,59,5130,0.1,9.450000342,5.47333343783333,5.24416666825,3.7275000225,1.90166667125,1.82583335125,188.196811672,9.720000076,9.839999769,0,14.60000038,0,9.830000399,9.942999649,0.929166695,14.296666844,0,782,3.07999992,0.0335,0,6.5,58,4208,19.730000114,123.81587830475,2.782999968,0.468333347583333
"2017-01-27 00:29:56",50,5.3499999,56,4841,5.73000002,59,5052,19.680000343,0,4.96638665042017,5.73697485218487,3.7470588410084,1.73277311588235,2.01428572512605,184.00801086,9.699999905,9.877999688,0,14.60000038,0,10.060000228,9.985999774,0.928571457142857,14.2991598506723,0,782,3.06999993,0.0497,0,6.5999999,58,3970,0,202.57868958,2.815999935,0
"2017-01-27 00:39:58",50,5.4000001,56,4618,5.71000004,59,4674,7.630000076,0.01,5.824166806,4.87500006333333,3.7341666825,2.02750000375,1.70666667875,184.00801086,9.689999962,9.872999766,0,14.60000038,0,10.090000247,9.986999701,0.931666694,14.2958335075,0,781,3.06999993,0.0592,0,6.5,58,4007,0,202.57868958,2.874999885,0
"2017-01-27 00:49:55",50,5.36999989,56,4519,5.69000006,59,4857,0.1,17.420000266,4.79831940756303,5.66386559411765,3.73277312647059,1.66470588781513,1.97394959117647,184.00801086,9.660000038,9.872999765,0,14.60000038,0,9.960000228,9.982999705,0.926890785546219,14.2983195113445,0,781,3.07999992,0.0595,0,6.4000001,58,4039,0,202.57868958,2.87999988,0
"2017-01-27 00:59:57",50,5.35999966,56,4441,5.69000006,59,4859,0.1,11.580000114,5.36750010608333,5.306666692,3.75583335033333,1.87583334075,1.88000000958333,184.00801086,9.969999981,9.869999506,0,14.60000038,0,8.700000285,9.983999824,0.92500003,14.278333441,0,781,3.06999993,0.0595,0,6.4000001,58,4517,0,202.57868958,2.886999873,0
"2017-01-27 01:09:55",50,5.36999989,56,4705,5.61999989,59,4947,18.039999905,0,5.59915980117647,5.1100840607563,3.73193279117647,1.94369748907563,1.78823530210084,184.00801086,10.060000228,9.872999669,0,14.60000038,0,8.560000228,9.981999874,0.918487427563025,14.2663866168908,0,781,3.06999993,0.0586,0,6.4000001,58,4298,0,202.57868958,2.897999862,0
"2017-01-27 01:19:57",50,5.38999987,56,4488,5.58999968,59,4613,4.46,0.05,4.83416677275,5.51083339825,3.73833335733333,1.68500000875,1.93083334616667,172.67579422025,10.190000057,9.828999805,0,14.60000038,0,9.15,9.930999757,0.924166697,14.260000038,0,780,3.06999993,0.0602,0,6.4000001,58,4256,20.529999924,124.172698548083,2.779999972,0.355000003166667
"2017-01-27 01:29:59",50,5.36999989,56,4184,6.02999973,59,4649,0.1,14.400000273,5.73333345208333,4.95000002375,3.72666669,1.9875000125,1.7391666775,170.54399109,10.180000114,9.868999674,0,14.60000038,0,9.380000304,9.985999774,0.921666698,14.275000095,0,781,3.06999993,0.0581,0,6.4000001,58,3897,0,202.68196106,2.788999961,0
"2017-01-27 01:39:56",50,5.32999992,56,4218,6.05999994,59,4681,0.1,12.580000304,5.15378161,5.55798318210084,3.73109245798319,1.79159664327731,1.93949581470588,170.54399109,10.179999924,9.877999687,0,14.60000038,0,9.480000114,9.981999778,0.921848770756303,14.2739496708403,0,780,3.05999994,0.058,0,6.4000001,58,3891,0,202.68196106,2.854999901,0
