"","AMBIENT_TEMP.PROCESS_VALUE","BIO_1.LEVEL.PROCESS_VALUE","BIO_1.TEMPERATURE.PROCESS_VALUE","BIO_1.TSS.PROCESS_VALUE","BIO_2.LEVEL.PROCESS_VALUE","BIO_2.TEMPERATURE.PROCESS_VALUE","BIO_2.TSS.PROCESS_VALUE","BIO_BLOWER_1.FLOW.PROCESS_VALUE","BIO_BLOWER_2.FLOW.PROCESS_VALUE","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_1","MBR.AIR_SCOUR_FLOW.PROCESS_VALUE_TANK_2","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_1","MBR.AIR_SCOUR_PRESSURE.PROCESS_VALUE_2","MBR.BATCH_VOLUME","MBR_1.INF_FLOW.PROCESS_VALUE","MBR_1.LEVEL.PROCESS_VALUE","MBR_1.PERM_FLOW.PROCESS_VALUE","MBR_1.PERM_PRESS.PROCESS_VALUE","MBR_1.TRANS_PRESS.PROCESS_VALUE","MBR_2.INF_FLOW.PROCESS_VALUE","MBR_2.LEVEL.PROCESS_VALUE","MBR_2.PERM_FLOW.PROCESS_VALUE","MBR_2.PERM_PRESS.PROCESS_VALUE","MBR_2.TRANS_PRESS.PROCESS_VALUE","PERMEATE_TANK.CONDUCTIVITY.PROCESS_VALUE","PERMEATE_TANK.LEVEL.PROCESS_VALUE","PERMEATE_TANK.TURBIDITY.PROCESS_VALUE","RAS_TROUGH.DO.PROCESS_VALUE","RAS_TROUGH.PH.PROCESS_VALUE","RAS_TROUGH.TEMPERATURE.PROCESS_VALUE","RAS_TROUGH.TSS.PROCESS_VALUE","SEWAGE.FLOW.PROCESS_VALUE","SEWAGE.FLOW.TOTAL_BATCH","SEWAGE.LEVEL.PROCESS_VALUE","WAS_FLOW.PROCESS_VALUE"
"2017-01-17 00:09:59",57,5.09499979,58,4419,5.934999945,61,4418.5,23.9545458190909,0,5.42396708504132,5.04049608446281,3.72479342595041,1.88181819256198,1.81239672057851,148.10400391,10.3818182509091,9.87272696272727,2.81735545165289,10.0826448086777,4.10495882413223,8.40909104,9.98999985727273,2.74628099297521,11.4107439728099,2.74297524760331,807.5,3.124999885,0.119272731818182,7.5999999,6.5,67,4682,0,152.92012024,2.87727261,0
"2017-01-17 00:19:56",57,4.96999979,58,4523,5.92999983,61,4456,0.1,5.220000076,5.00084044310924,5.56302547352941,3.71260507941176,1.72268908613445,1.98991599327731,148.10400391,9.940000342,9.87899971,0,12.4588240195798,1.64117651504202,9.230000209,10.003999804,0,13.60000038,0.40000001,808,3.06999993,0.0153,7.5999999,6.5999999,67,4427,0,152.92012024,2.870999889,0
"2017-01-17 00:29:57",57,4.94999981,58,4428,5.96000004,61,4489,0.1,20.940000532,5.70750013141667,4.83666688516667,3.721666695,1.96333333875,1.7275000225,176.789801028833,9.970000266,9.859999658,0,12.40000057,1.70000005,9.830000114,9.97199974,0,13.60000038,0.40000001,807,3.04999995,0.0119,7.5999999,6.5999999,67,4400,11.750000119,107.400522017833,2.828999926,0.389166684916667
"2017-01-17 00:39:59",57,5.23000002,58,4267,5.79999971,61,4108,5.349999886,0.02,5.20333344891667,5.338333574,3.74500003391667,1.821666676,1.92333335791667,206.44799805,10.210000038,9.877999878,0,12.40000057,1.70000005,10.040000152,9.988999747,0,13.60000038,0.40000001,808,3.06999993,0.0133,7.5999999,6.5999999,67,4306,2.980000114,151.7819794935,2.801999948,0
"2017-01-17 00:49:56",57,5.27999973,58,4173,5.77999973,61,4388,29.340000879,0.01,5.35966400285714,5.20420188983193,3.71764709117647,1.85210084747899,1.86554624369748,206.44799805,10.209999943,9.870999718,0,12.40000057,1.70000005,10.130000209,10.006999873,0,13.60000038,0.40000001,806,3.05999994,0.0122,7.5999999,6.5999999,67,4275,0,152.52502441,2.851999901,0
"2017-01-17 00:59:58",57,5.25,58,4157,5.75999975,61,4254,0.1,5.450000113,5.61166682183333,4.92750023116667,3.71916670366667,1.93083334616667,1.75750002375,206.44799805,10.229999924,9.874999619,0,12.40000057,1.70000005,10.160000038,10.000999831,0,13.60000038,0.40000001,807,3.05999994,0.0123,7.5999999,6.5999999,67,4328,0,152.52502441,2.8599999,0
"2017-01-17 01:09:55",57,5.25,58,4070,5.77999973,61,3952,0.1,18.330000114,4.87899168764706,5.62605065168067,3.72521011512605,1.69663866260504,2.02857145252101,206.44799805,10.240000057,9.875999642,0,12.40000057,1.70000005,9.830000019,10.005999754,0,13.60000038,0.40000001,808,3.07999992,0.0119,7.5999999,6.5999999,67,4634,0,152.52502441,2.865999894,0
"2017-01-17 01:19:57",57,5.25,58,4079,5.73999977,61,4002,3.560000076,0,5.78416677275,4.82500022166667,3.7158333675,1.9875000125,1.728333355,206.44799805,10.280000114,9.873999785,0,12.40000057,1.70000005,9.760000133,10.003999804,0,13.60000038,0.40000001,808,3.06999993,0.0116,7.5999999,6.5,67,4484,0,152.52502441,2.861999898,0
"2017-01-17 01:29:59",57,5.28999996,58,4011,5.73000002,61,4008,31.200000343,0.02,5.31833346633333,5.27166690733333,3.72333336825,1.83750000833333,1.88583335991667,168.0756000525,10.270000076,9.860999681,0,12.40000057,1.70000005,9.890000247,9.980999755,0,13.60000038,0.40000001,807,3.05999994,0.0117,7.5999999,6.5,67,4412,11.260000228,108.814463452167,2.821999932,0.5041666825
"2017-01-17 01:39:56",57,5.28999996,58,3985,6.03999996,61,4134,0.120000001,2.539999962,5.15882364596639,5.38151281739496,3.72100844478992,1.78319329033613,1.93781515445378,121.1760025,10.290000152,9.873999691,0,12.40000057,1.70000005,9.770000266,9.999999904,0,13.60000038,0.40000001,809,3.06999993,0.0122,7.5999999,6.5,67,4333,2.95,150.857655818487,2.774999975,0
